名前,性別,生年,没年,父,母,配偶者,養父,養母,肩書,期間,メモ
齊高帝蕭道成,男,427,482,蕭承之,,,,,皇帝,479-482,
齊武帝蕭賾,男,440,493,齊高帝蕭道成,,,,,皇帝,482-493,
鬱林王蕭昭業,男,473,494,文惠太子蕭長懋,,,,,皇帝,493-494,
海陵王蕭昭文,男,480,494,文惠太子蕭長懋,,,,,皇帝,494,
齊明帝蕭鸞,男,452,498,蕭道生,,,,,皇帝,494-498,
東昏侯蕭寶卷,男,483,501,齊明帝蕭鸞,,,,,皇帝,498-501,
齊和帝蕭寶融,男,488,502,齊明帝蕭鸞,,,,,皇帝,501-502,
蕭承之,男,384,447,,,,,,宣皇帝,,高帝の父
文惠太子蕭長懋,男,458,493,齊武帝蕭賾,,,,,文惠太子,,武帝の子。鬱林王・海陵王の父
蕭道生,男,,,,,,,,始安貞王,,高帝の弟。明帝の父
